h3,population,geometry
86216e2efffffff,42.0,"POLYGON ((73.50982874401596 56.57047228450876, 73.51734413703767 56.53508250817615, 73.5775616977595 56.520761262549556, 73.63032633348797 56.54181247013078, 73.62290295655322 56.57720652564949, 73.56262289384003 56.59154511623661, 73.50982874401596 56.57047228450876))"
86216e2dfffffff,6140.0,"POLYGON ((73.53233791338812 56.46427774252375, 73.53981635690695 56.42886280496142, 73.5998780374735 56.414522587434384, 73.65252337851261 56.435579994554274, 73.64513651470855 56.470999178731056, 73.58501269655886 56.485356730923684, 73.53233791338812 56.46427774252375))"
86216e2d7ffffff,24.0,"POLYGON ((73.4195685896346 56.45745341392798, 73.42713850725671 56.42204283581994, 73.48723120361446 56.40775614941469, 73.53981635690695 56.42886280496142, 73.53233791338812 56.46427774252375, 73.47218280828505 56.478581686790676, 73.4195685896346 56.45745341392798))"
86216e2cfffffff,320.0,"POLYGON ((73.5775616977595 56.520761262549556, 73.58501269655886 56.485356730923684, 73.64513651470855 56.470999178731056, 73.69787148335624 56.49202880190005, 73.69051233441128 56.5274375398589, 73.63032633348797 56.54181247013078, 73.5775616977595 56.520761262549556))"
86216e2afffffff,11.0,"POLYGON ((73.2388872715203 56.5001141124456, 73.24661318056197 56.46472287742554, 73.3068294053945 56.45052624293789, 73.35938268219284 56.47170371861558, 73.35174830128594 56.50709949861739, 73.2914690801747 56.52131327963872, 73.2388872715203 56.5001141124456))"
86216e29fffffff,47.0,"POLYGON ((73.2620270408039 56.39391522854551, 73.26971505356038 56.358498866675056, 73.32977565356234 56.34428287970637, 73.38221083512059 56.3654661390814, 73.3746139186621 56.40088701287974, 73.3144906894587 56.41512013697018, 73.2620270408039 56.39391522854551))"
86216e297ffffff,192.0,"POLYGON ((73.1494714268246 56.386840849030264, 73.1572504257768 56.35142911141762, 73.21734080920845 56.33726663912681, 73.26971505356038 56.358498866675056, 73.2620270408039 56.39391522854551, 73.20187376202273 56.408094760158136, 73.1494714268246 56.386840849030264))"
86216e28fffffff,1.0,"POLYGON ((73.3068294053945 56.45052624293789, 73.3144906894587 56.41512013697018, 73.3746139186621 56.40088701287974, 73.42713850725671 56.42204283581994, 73.4195685896346 56.45745341392798, 73.35938268219284 56.47170371861558, 73.3068294053945 56.45052624293789))"
86216e25fffffff,5.0,"POLYGON ((73.55513502857437 56.62692438666539, 73.56262289384003 56.59154511623661, 73.62290295655322 56.57720652564949, 73.67575766801025 56.59822983872792, 73.66836209108524 56.63361334805892, 73.60801948051545 56.647969327310285, 73.55513502857437 56.62692438666539))"
86216e237ffffff,60.0,"POLYGON ((73.1025287073668 56.59913479009048, 73.11038464138875 56.56377360651929, 73.17078715836426 56.54965037648432, 73.22339734095964 56.57087127391597, 73.21563325728646 56.60623714857206, 73.15516710441119 56.62037745642719, 73.1025287073668 56.59913479009048))"
